Institute,Gen,OBC,SC,ST,EWS,Total,EWS PwD,OBC PwD,SC PwD,ST PwD,TotalSeats,__key
Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,andhra pradesh
Assam,0,0,0,0,0,0,0,0,0,0,0,assam
Bihar,0,0,0,0,0,0,0,0,0,0,0,bihar
Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,chhattisgarh
Delhi (NCT),0,0,0,0,0,0,0,0,0,0,0,delhi nct
Gujarat,0,0,0,0,0,0,0,0,0,0,0,gujarat
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,himachal pradesh
Jammu And Kashmir,0,0,0,0,0,0,0,0,0,0,0,jammu and kashmir
Jharkhand,0,0,0,0,0,0,0,0,0,0,0,jharkhand
Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,madhya pradesh
Maharashtra,0,0,0,0,0,0,0,0,0,0,0,maharashtra
Odisha,0,0,0,0,0,0,0,0,0,0,0,odisha
Puducherry,0,0,0,0,0,0,0,0,0,0,0,puducherry
Punjab,0,0,0,0,0,0,0,0,0,0,0,punjab
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,rajasthan
Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,tamil nadu
Telangana,0,0,0,0,0,0,0,0,0,0,0,telangana
Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,uttar pradesh
Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,uttarakhand
West Bengal,0,0,0,0,0,0,0,0,0,0,0,west bengal
