College Name,State,EWS,General,OBC,SC,ST
"ACSR Govt Medical College, Nellore, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH, Andhra Pradesh, 524004",Andhra Pradesh,20208.0,542155.0,628885.0,66395.0,112021.0
"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA, Kunjaban, Agartala, Tripura West, Tripura, 799006",Tripura,1209143.0,485022.0,529174.0,101319.0,117645.0
"AIIMS Bathinda , Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",Punjab,2999.0,174486.0,268965.0,536109.0,36036.0
"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh, All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",HP,3630.0,241346.0,330044.0,486740.0,40476.0
"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",Assam,5310.0,309667.0,340348.0,730492.0,54984.0
"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir, Jammu And Kashmir, 181134",J&K,440047.0,221837.0,354680.0,518444.0,770273.0
"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH, Andhra Pradesh, 522503",Andhra Pradesh,426233.0,279531.0,401069.0,630186.0,31007.0
"AIIMS Rajkot, Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand, Gujarat, 360110",Gujarat,392062.0,229985.0,321581.0,21306.0,39706.0
"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019, Odisha, 751019",Odisha,271852.0,22426.0,241313.0,207160.0,781610.0
"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126, Telangana, 508126",Telangana,273253.0,221694.0,258759.0,225964.0,39391.0
"AIIMS, Deogarh , AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152",Jharkhand,4493.0,305719.0,376997.0,534447.0,51375.0
"AIIMS, Gorakhpur , AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",UP,396329.0,294578.0,338406.0,596639.0,45351.0
"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",Rajasthan,121786.0,87801.0,98647.0,234585.0,826710.0
"AIIMS, Kalyani, NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India, West Bengal, 741245",WB,503151.0,262176.0,386570.0,671008.0,412250.0
"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008",TN,6467.0,190373.0,409125.0,33807.0,55735.0
"AIIMS, Nagpur, PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",Maharashtra,339955.0,137288.0,168613.0,197744.0,16192.0
"AIIMS, New Delhi, AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",Delhi,254.0,9332.0,31622.0,644.0,296155.0
"AIIMS, Patna, Phulwarisharif, Patna, Bihar-801507, Bihar, 801507",Bihar,2988.0,221737.0,324957.0,436764.0,856041.0
"AIIMS, Rai Bareli , All India Institute of Medical Sciences Raebareli, Uttar Pradesh, 229405",UP,3646.0,327221.0,354913.0,376229.0,1057165.0
"AIIMS, Raipur, Tatibandh, G E Road, Raipur Chhattisgarh, Pin - 492099, Chhattisgarh, 492099",Chattisharh,371868.0,194851.0,306492.0,230742.0,22885.0
"AIIMS, Rishikesh , ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH Uttarakhand - 249203, Uttarakhand, 249203",Uttarakhand,1540.0,147945.0,161370.0,8240.0,11475.0
"AIIMS-Bhopal,, SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",MP,119885.0,116405.0,116547.0,261657.0,636315.0
"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE, GAYA, SHERGHATIROAD, GAYAJI, Bihar, 823001",Bihar,11156.0,10932.0,648874.0,80403.0,101128.0
"ASSAM MEDICAL COLLEGE, DIBRUGARH, Borbari, Dibrugarh, Assam, 786002",Assam,16210.0,432536.0,14944.0,81601.0,70087.0
"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE, VIDISHA, NH 86 INFRONT OF KHEL PARISAR SANCHI ROAD VIDISHA, Madhya Pradesh, 464001",MP,464857.0,8856.0,629857.0,458127.0,78687.0
"Amrita Institute of Medical Science, Kochi, Amrita School of Medicine, Amrita Institute of Medical Sciences AIMS Ponekkara P.O Kochi 682041, Kerala, 682041",Karala,,944004.0,,,
