NameKey,College Name,QuotaCanon,CategoryBase,IsPwD,Year,RoundTag,ClosingRank
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPT PUDUCHERRY PONDY CUDDALORE MAIN ROAD KIRUMAMPAKKAM PUDUCHERRY PUDUCHERRY 607403,"Aarupadai Veedu Medical College and Hospt., Puducherry,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, PUDUCHERRY, Puducherry, 607403",DEEMED,GENERAL,False,,R1,593506
ACS MEDICAL COLLEGE AND HOSPITAL CHENNAI PERIYAR EVR HIGH RAOD VELAPPANCHAVADI CHENNAI 77 TAMIL NADU 600077,"ACS Medical College and Hospital, Chennai,Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",DEEMED,GENERAL,False,,R1,587084
ACSR GOVERNMENT MEDICAL COLLEGE NELLORE OPP TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT ANDHRA PRADESH ANDHRA PRADESH 524004,"ACSR Govt Medical College, Nellore,OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, ANDHRA PRADESH, Andhra Pradesh, 524004",AIQ,GENERAL,True,,R1,542155
ACSR GOVERNMENT MEDICAL COLLEGE NELLORE OPP TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT ANDHRA PRADESH ANDHRA PRADESH 524004,"ACSR Govt Medical College, Nellore,OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, ANDHRA PRADESH, Andhra Pradesh, 524004",AIQ,OBC,True,,R1,628885
AGARTALA GOVERNMENT MEDICAL COLLEGE AGARTALA KUNJABAN AGARTALA TRIPURA WEST TRIPURA 799006,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West, Tripura, 799006",AIQ,EWS,True,,R1,1209143
AGARTALA GOVERNMENT MEDICAL COLLEGE AGARTALA KUNJABAN AGARTALA TRIPURA WEST TRIPURA 799006,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West, Tripura, 799006",AIQ,GENERAL,True,,R1,485022
AGARTALA GOVERNMENT MEDICAL COLLEGE AGARTALA KUNJABAN AGARTALA TRIPURA WEST TRIPURA 799006,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West, Tripura, 799006",AIQ,OBC,True,,R1,529174
AIIMS BATHINDA JODHPUR ROMANA NEAR GIANI ZAIL SINGH COLLEGE MANDI DABWALI ROAD BATHINDA PUNJAB 151001,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",OPEN SEAT QUOTA,EWS,False,2025,R1,2999
AIIMS BATHINDA JODHPUR ROMANA NEAR GIANI ZAIL SINGH COLLEGE MANDI DABWALI ROAD BATHINDA PUNJAB 151001,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",OPEN SEAT QUOTA,GENERAL,False,2025,R1,1733
AIIMS BATHINDA JODHPUR ROMANA NEAR GIANI ZAIL SINGH COLLEGE MANDI DABWALI ROAD BATHINDA PUNJAB 151001,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",OPEN SEAT QUOTA,GENERAL,True,2025,R1,174486
AIIMS BATHINDA JODHPUR ROMANA NEAR GIANI ZAIL SINGH COLLEGE MANDI DABWALI ROAD BATHINDA PUNJAB 151001,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",OPEN SEAT QUOTA,OBC,False,2025,R1,2369
AIIMS BATHINDA JODHPUR ROMANA NEAR GIANI ZAIL SINGH COLLEGE MANDI DABWALI ROAD BATHINDA PUNJAB 151001,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",OPEN SEAT QUOTA,OBC,True,2025,R1,268965
AIIMS BATHINDA JODHPUR ROMANA NEAR GIANI ZAIL SINGH COLLEGE MANDI DABWALI ROAD BATHINDA PUNJAB 151001,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",OPEN SEAT QUOTA,SC,False,2025,R1,19176
AIIMS BATHINDA JODHPUR ROMANA NEAR GIANI ZAIL SINGH COLLEGE MANDI DABWALI ROAD BATHINDA PUNJAB 151001,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",OPEN SEAT QUOTA,SC,True,,R1,536109
AIIMS BATHINDA JODHPUR ROMANA NEAR GIANI ZAIL SINGH COLLEGE MANDI DABWALI ROAD BATHINDA PUNJAB 151001,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",OPEN SEAT QUOTA,ST,False,2025,R1,36036
AIIMS BHOPAL SAKET NAGAR BHOPAL MADHYA PRADESH 462020,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",OPEN SEAT QUOTA,EWS,False,2025,R1,1582
AIIMS BHOPAL SAKET NAGAR BHOPAL MADHYA PRADESH 462020,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",OPEN SEAT QUOTA,EWS,True,2025,R1,119885
AIIMS BHOPAL SAKET NAGAR BHOPAL MADHYA PRADESH 462020,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",OPEN SEAT QUOTA,GENERAL,False,2025,R1,531
AIIMS BHOPAL SAKET NAGAR BHOPAL MADHYA PRADESH 462020,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",OPEN SEAT QUOTA,GENERAL,True,2025,R1,116405
AIIMS BHOPAL SAKET NAGAR BHOPAL MADHYA PRADESH 462020,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",OPEN SEAT QUOTA,OBC,False,2025,R1,1142
AIIMS BHOPAL SAKET NAGAR BHOPAL MADHYA PRADESH 462020,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",OPEN SEAT QUOTA,OBC,True,2025,R1,116547
AIIMS BHOPAL SAKET NAGAR BHOPAL MADHYA PRADESH 462020,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",OPEN SEAT QUOTA,SC,False,2025,R1,7030
