Source_College,Source_State,Source_Quota,Source_Category,Source_PwD,Source_ClosingRank,Sug1_Name,Sug1_Score,Sug2_Name,Sug2_Score,Sug3_Name,Sug3_Score,CHOSEN
C0003,,AIQ,OBC,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",34,"AIIMS-Bhopal,, SAKET NAGAR BHOPAL, Madhya Pradesh, 462020 | MP | All India Quota (AIQ)",33,"AIIMS-Bhopal,, SAKET NAGAR BHOPAL, Madhya Pradesh, 462020 | MP | All India Quota (AIQ)",33,1
C0003,,AIQ,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,1
C0003,,AIQ,OBC,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",34,"AIIMS-Bhopal,, SAKET NAGAR BHOPAL, Madhya Pradesh, 462020 | MP | All India Quota (AIQ)",33,"AIIMS-Bhopal,, SAKET NAGAR BHOPAL, Madhya Pradesh, 462020 | MP | All India Quota (AIQ)",33,2
C0003,,AIQ,EWS,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",36,"AIIMS-Bhopal,, SAKET NAGAR BHOPAL, Madhya Pradesh, 462020 | MP | All India Quota (AIQ)",33,"AIIMS, Patna, Phulwarisharif, Patna, Bihar-801507, Bihar, 801507 | Bihar | All India Quota (AIQ)",33,2
C0003,,AIQ,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,2
C0003,,AIQ,SC,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",34,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",34,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,1
C0003,,AIQ,ST,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",34,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",34,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",34,1
C0003,,Central,OBC,N,,"KGMC, LUCKNOW, SHAHMINA ROAD, CHOWK, LUCKNOW, Uttar Pradesh, 226003 | UP | All India Quota (AIQ)",32,"KGMC, LUCKNOW, SHAHMINA ROAD, CHOWK, LUCKNOW, Uttar Pradesh, 226003 | UP | All India Quota (AIQ)",32,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",31,1
C0003,,Central,EWS,N,,"MEDICAL COLLEGE, KOLKATA, 88, College Street, Kolkata-700073, West Bengal, 700073 | WB | All India Quota (AIQ)",31,"MEDICAL COLLEGE, KOLKATA, 88, College Street, Kolkata-700073, West Bengal, 700073 | WB | All India Quota (AIQ)",31,"MEDICAL COLLEGE, KOLKATA, 88, College Street, Kolkata-700073, West Bengal, 700073 | WB | All India Quota (AIQ)",31,3
C0003,,Central,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",34,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",34,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",34,1
C0003,,Central,SC,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"KGMC, LUCKNOW, SHAHMINA ROAD, CHOWK, LUCKNOW, Uttar Pradesh, 226003 | UP | All India Quota (AIQ)",32,"KGMC, LUCKNOW, SHAHMINA ROAD, CHOWK, LUCKNOW, Uttar Pradesh, 226003 | UP | All India Quota (AIQ)",32,2
C0003,,Central,ST,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,1
C0004,,Central,OBC,N,,"PATNA MEDICAL COLLEGE, PATNA, ASHOK RAJPATH, PATNA, Bihar, 800004 | Bihar | All India Quota (AIQ)",31,"PATNA MEDICAL COLLEGE, PATNA, ASHOK RAJPATH, PATNA, Bihar, 800004 | Bihar | All India Quota (AIQ)",31,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",31,2
C0004,,Central,EWS,N,,"PATNA MEDICAL COLLEGE, PATNA, ASHOK RAJPATH, PATNA, Bihar, 800004 | Bihar | All India Quota (AIQ)",31,"PATNA MEDICAL COLLEGE, PATNA, ASHOK RAJPATH, PATNA, Bihar, 800004 | Bihar | All India Quota (AIQ)",31,"PATNA MEDICAL COLLEGE, PATNA, ASHOK RAJPATH, PATNA, Bihar, 800004 | Bihar | All India Quota (AIQ)",31,2
C0004,,Central,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",34,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",34,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",34,2
C0004,,Central,SC,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"PATNA MEDICAL COLLEGE, PATNA, ASHOK RAJPATH, PATNA, Bihar, 800004 | Bihar | All India Quota (AIQ)",33,"PATNA MEDICAL COLLEGE, PATNA, ASHOK RAJPATH, PATNA, Bihar, 800004 | Bihar | All India Quota (AIQ)",33,2
C0004,,Central,ST,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0004,,Central,OBC,N,,"PATNA MEDICAL COLLEGE, PATNA, ASHOK RAJPATH, PATNA, Bihar, 800004 | Bihar | All India Quota (AIQ)",31,"PATNA MEDICAL COLLEGE, PATNA, ASHOK RAJPATH, PATNA, Bihar, 800004 | Bihar | All India Quota (AIQ)",31,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",31,2
C0004,,Central,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",34,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",34,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",34,2
C0004,,Central,SC,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"PATNA MEDICAL COLLEGE, PATNA, ASHOK RAJPATH, PATNA, Bihar, 800004 | Bihar | All India Quota (AIQ)",33,"PATNA MEDICAL COLLEGE, PATNA, ASHOK RAJPATH, PATNA, Bihar, 800004 | Bihar | All India Quota (AIQ)",33,2
C0004,,Central,SC,Y,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"PATNA MEDICAL COLLEGE, PATNA, ASHOK RAJPATH, PATNA, Bihar, 800004 | Bihar | All India Quota (AIQ)",33,"PATNA MEDICAL COLLEGE, PATNA, ASHOK RAJPATH, PATNA, Bihar, 800004 | Bihar | All India Quota (AIQ)",33,2
C0004,,Central,ST,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0005,,Central,OBC,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",31,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",31,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",31,2
C0005,,Central,EWS,N,,"University College of Medical Sciences, New Delhi, Dilshad Garden, Delhi (NCT), 110095 | Delhi | Central Institutions (Central)",32,"University College of Medical Sciences, New Delhi, Dilshad Garden, Delhi (NCT), 110095 | Delhi | Central Institutions (Central)",32,"University College of Medical Sciences, New Delhi, Dilshad Garden, Delhi (NCT), 110095 | Delhi | Central Institutions (Central)",32,2
C0005,,Central,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",35,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",35,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",35,2
